Year;Top10;Top100;Top1000;Link
1990;2635;2540;2400;https://www.olimpbase.org/Elo/Elo199007e.html
1991;2630;2550;2410;https://www.olimpbase.org/Elo/Elo199107e.html
1992;2655;2560;2410;https://www.olimpbase.org/Elo/Elo199207e.html
1993;2665;2565;2415;https://www.olimpbase.org/Elo/Elo199307e.html
1994;2655;2575;2425;https://www.olimpbase.org/Elo/Elo199407e.html
1995;2680;2580;2425;https://www.olimpbase.org/Elo/Elo199507e.html
1996;2685;2580;2430;https://www.olimpbase.org/Elo/Elo199607e.html
1997;2695;2585;2435;https://www.olimpbase.org/Elo/Elo199707e.html
1998;2700;2590;2440;https://www.olimpbase.org/Elo/Elo199807e.html
1999;2702;2591;2444;https://www.olimpbase.org/Elo/Elo199907e.html
2000;2702;2595;2446;https://www.olimpbase.org/Elo/Elo200007e.html
2001;2706;2599;2452;https://www.olimpbase.org/Elo/Elo200107e.html
2002;2711;2600;;https://ratings.fide.com/toparc.phtml?cod=33
2003;2719;2606;;https://ratings.fide.com/toparc.phtml?cod=49
2004;2725;2611;;https://ratings.fide.com/toparc.phtml?cod=65
2005;2724;2615;;https://ratings.fide.com/toparc.phtml?cod=81
2006;2729;2619;;https://ratings.fide.com/toparc.phtml?cod=97
2007;2735;2624;;https://ratings.fide.com/toparc.phtml?cod=113
2008;2738;2631;;https://ratings.fide.com/toparc.phtml?cod=129
2009;2751;2641;;https://ratings.fide.com/toparc.phtml?cod=145
2010;2748;2639;;https://ratings.fide.com/toparc.phtml?cod=169
2011;2764;2649;;https://ratings.fide.com/toparc.phtml?cod=193
2012;2769;2656;;https://ratings.fide.com/toparc.phtml?cod=217
2013;2767;2653;;https://ratings.fide.com/toparc.phtml?cod=265
2014;2766;2653;;https://ratings.fide.com/toparc.phtml?cod=313
2015;2765;2651;;https://ratings.fide.com/toparc.phtml?cod=361
2016;2770;2654;;https://ratings.fide.com/toparc.phtml?cod=409
2017;2781;2654;;https://ratings.fide.com/toparc.phtml?cod=457
2018;2773;2654;;https://ratings.fide.com/toparc.phtml?cod=505
2019;2763;2654;;https://ratings.fide.com/toparc.phtml?cod=553
2020;2764;2648;;https://ratings.fide.com/toparc.phtml?cod=601
2021;2763;2647;;https://ratings.fide.com/toparc.phtml?cod=649
2022;2760;2651;;https://ratings.fide.com/toparc.phtml?cod=697
2023;2752;2646;;https://ratings.fide.com/toparc.phtml?cod=745